ID,leaf_rust,stem_rust,healthy_wheat
770SDM,0,1,0
7A27J0,0,0,1
7AJUBC,0,0,1
7C09OS,0,1,0
7FBK0I,0,0,1
7FIYNT,0,1,0
7FRVBT,1,0,0
7HWYNO,0,1,0
7HYV1S,0,0,1
7K49J7,1,0,0
7L8I9W,0,1,0
7OIDOG,0,0,1
7QXINN,0,0,1
7R79YI,0,0,1
7TQ2FE,0,1,0
7VKX0H,1,0,0
7WHRMW,0,0,1
7YRETU,1,0,0
83Z7CK,1,0,0
84FZDZ,1,0,0
84KKPV,0,1,0
85YFKR,0,0,1
86M6FQ,1,0,0
87XMNV,0,1,0
8B92KC,0,1,0
8BK2PD,0,0,1
8DBV24,1,0,0
8EGYGH,0,1,0
8K268S,0,1,0
8LJHN6,0,1,0
8MCLGV,1,0,0
8MPF2S,1,0,0
8NRRD6,0,1,0
8PM0C4,0,0,1
8TIH31,0,1,0
8UWVT9,1,0,0
8W40NI,0,1,0
8WNRN5,0,0,1
8WTRO2,0,0,1
8ZA12G,0,0,1
92BY2V,0,1,0
98B5MA,0,1,0
991ULH,0,1,0
99LHT9,0,1,0
9K455I,0,1,0
9PZOH9,0,1,0
9QX0BV,0,0,1
9ZUXDP,0,0,1
A22GNM,0,1,0
A35NKL,1,0,0
A3XMJG,1,1,0
A5R7N5,1,0,0
A71S2G,0,1,0
A8BFPN,0,1,0
AA2RK9,1,0,0
ACCC3M,1,0,0
AD54KD,1,0,0
ADM9WH,0,1,0
AJTPKP,1,0,0
AQ9G8P,1,0,0
AQNWMU,1,0,0
ASWEM4,0,1,0
AXVIDD,0,1,0
B5Z53V,1,0,0
B6767Y,1,0,0
B7A4WN,0,1,0
B8BA82,1,0,0
B9CYAF,1,0,0
BDVR3G,0,1,0
BE0SDD,1,0,0
BM4CGJ,1,0,0
BN5L96,0,1,0
BR5HS1,0,1,0
BXDDND,0,1,0
BY3KQK,0,1,0
C00UDR,0,0,1
C12J44,0,0,1
C3HVUP,1,0,0
C3LIDU,1,0,0
C4TEDN,0,1,0
C7ORQ3,1,0,0
C8F2PR,1,0,0
C96KHN,0,0,1
C9K49P,0,1,0
CA6QE3,1,0,0
CJI2ZI,0,1,0
CJKDD9,0,1,0
CON3Q6,0,1,0
CRAO3W,1,0,0
CS8I7X,1,0,0
CTKEVP,0,1,0
CVJKQ0,1,0,0
CVP2F1,0,1,0
CW0A8P,0,0,1
CWFUHX,0,0,1
CZEKO2,0,0,0
CZV7V8,0,1,0
D47QCW,1,0,0
D6TACK,1,0,0
D9POPP,1,0,0
DA6ERF,1,0,0
DAE2E6,1,0,0
DFJMOK,0,0,1
DJ2O5O,0,1,0
DK3M7U,1,0,0
DMWVNR,0,0,1
DPN5Y4,0,0,1
DSKH8C,0,1,0
DSPYUI,0,0,1
DSTYNQ,0,0,1
DT051P,0,1,0
DWS774,1,0,0
DZKYZG,0,0,1
E1UT92,1,0,0
E3UUAH,1,0,1
E5Y6C2,1,0,0
E7U5LA,1,1,0
E830B4,0,0,1
EF1VE8,1,0,0
EJJNP8,1,0,0
EK02MQ,0,1,0
ELN2OX,0,0,1
ELQYW8,0,0,1
ELRIT5,0,1,0
EMTPG4,1,0,0
EN5EK8,0,1,0
ENCNA4,1,0,0
ENU2K6,0,0,1
EO5HB4,0,1,0
ERHSBV,0,0,1
ETB5K9,0,1,0
ETFAA4,1,0,1
EXK568,0,1,0
EY1RVI,0,0,1
EYM7FV,0,0,0
F0BMJU,0,1,0
F0YDOW,1,0,0
F16156,0,1,0
F254OR,0,0,1
F3J2L6,1,0,0
F3ST2N,0,1,0
FCSIZW,0,1,0
FDYILZ,0,1,0
FDZAG6,0,0,0
FFHGCR,0,1,0
FKJ27S,0,1,0
FKPU4K,1,0,0
FL2RE2,1,0,0
FNLBVY,0,1,0
FQ76KG,0,1,0
FR69CL,0,1,0
FSWBAA,0,1,0
FWIQO3,1,0,0
G0TFZN,1,0,1
G1S125,0,1,0
G29JG9,1,0,0
G2VH1H,1,0,0
G5P8A1,1,0,0
G62S7Q,1,0,0
G7171A,0,1,0
G7WKXC,1,0,0
G8036S,1,0,0
G9LU3H,0,0,1
G9QN1Q,0,0,1
GAV4C1,1,0,0
GDYXBN,0,0,1
GE2DXP,1,0,0
GFEE4O,0,0,1
GNU6AP,0,1,0
GRI4UU,0,1,0
GRR4M5,0,1,0
GSVCRY,1,0,0
GSWZ1G,1,0,1
GTQC1H,0,0,1
GU40NL,0,1,0
GV8I76,0,1,0
GVRCWM,0,1,0
GWXVSQ,1,0,0
H0709X,1,0,0
H091MF,0,1,0
H11R0E,0,0,1
H3XNNP,1,0,0
H5L2XQ,0,0,1
H70U3U,1,0,1
H85TRT,0,1,0
HAX88W,1,0,0
HECXGM,1,0,0
HFV4BK,1,0,0
HGSMHR,0,1,0
HHE4UD,1,0,0
HHFCSR,1,0,1
HK4HT6,0,0,1
HPKJP6,1,0,0
HQ3927,1,0,0
HUQX87,0,1,0
HZSNLW,0,0,1
I0AOAD,1,0,0
I0VHG7,1,0,0
I1ZX1E,1,0,0
I2GA4N,0,1,1
I3C3YL,1,0,0
I5VAXH,0,1,0
I6JD81,1,0,0
I83ILL,0,1,0
IDASA8,0,0,1
IFUPRC,0,0,1
IG612B,1,0,0
IGFK64,1,1,0
IGS79C,1,0,0
IMP5ZT,1,0,0
IN6BS9,1,1,0
INMX1M,0,0,1
IQD2S6,0,1,0
IR4P99,1,0,0
ITA5CF,0,0,1
JCT42O,0,0,1
JD4FQG,1,0,0
JGIDPU,1,0,0
JHIN63,1,0,0
JJFDPS,0,1,0
JLG9QX,0,1,0
JLQPWF,1,0,0
K4KG21,0,0,1
K74DSX,0,0,1
K8I8PV,1,0,1
KH8YZM,0,0,1
KHL8RD,0,1,0
KJ90GY,1,0,0
KO0PV1,0,0,1
KR5A3P,0,1,0
KYH823,1,0,0
L1R3KO,0,0,0
L2JR4M,0,0,1
L5J6RO,1,0,0
L6VGHO,1,0,0
L7W1SK,0,1,0
L9U7RS,1,0,0
LA5BBQ,1,0,0
LB8UML,1,1,0
LE4WVZ,1,0,0
LF90OY,0,1,0
LFJN5F,0,0,1
LGDGLF,0,0,1
LGF6GU,0,0,1
LGMAZF,1,0,0
LHT58R,0,0,1
LIP25C,1,0,0
LJ48OC,1,0,0
LK4LU1,1,0,0
LL93NP,0,0,1
LN8U2L,0,1,0
LNHUUG,0,0,1
LNYFAZ,0,1,0
LQLMT6,0,1,0
LQRWP1,0,1,0
LT0KA0,0,1,1
LTKPZ8,0,1,1
LY6HHL,1,0,0
LYU01I,1,0,0
M2I0TS,1,0,0
M9PTBN,0,1,0
M9RQNE,0,1,0
MB44H4,0,1,0
MCWG84,1,0,0
MD84QB,0,1,0
MFWPB0,1,0,0
MG6QMS,0,1,0
MKUVEU,1,0,0
MO69MI,1,1,0
MU5BXX,0,1,0
MZHRWG,1,0,0
N0HX6Y,0,0,1
N567QP,0,0,1
NBAOVK,1,0,0
NDDDKK,0,0,1
NGZ2X2,0,1,0
NH3AZE,0,1,0
NK8R1S,0,0,1
NLB59M,1,0,0
NN5F6I,1,0,0
NPQJUS,1,0,0
NQUCTF,1,0,0
NS8DVC,1,0,0
NURNH0,1,0,0
NXCA0Q,1,0,0
NYJHQI,0,1,0
O2A1R8,1,0,0
O2N892,0,1,1
O7V8IB,0,0,0
O8QEI5,1,0,0
OBZOCF,1,0,0
OCEBS4,0,1,0
OCUL7A,0,1,0
ODZH9T,1,0,0
OE2KYL,0,1,0
OHDGS7,0,1,0
OK5TQU,0,1,0
OLG8KI,0,0,1
OLIZFO,1,0,0
ON9PIT,0,0,1
OOALVQ,0,1,0
OPYUWH,1,0,0
OR3QHI,1,0,0
OS8FB2,0,1,0
OSMWTE,0,1,0
OVOLCQ,0,1,0
OWX65S,1,0,0
P2SLLF,0,1,0
P3NJLX,0,0,1
PDMILG,0,1,0
PDTDLS,0,1,0
PEA0HS,0,1,0
PHF5WX,1,0,0
PKRMNK,0,1,0
PO0STE,0,1,0
POV53J,0,0,1
PQLRGZ,1,0,0
PSO8V7,0,1,0
PU3KS5,0,1,1
PW2MCN,0,0,1
PXQ79D,0,0,1
Q1OIWW,1,0,0
QA7IYK,0,1,0
QAF4XR,0,1,0
QBMCSF,1,0,0
QBQ3MU,1,0,0
QCMWSP,0,1,0
QESDCL,1,0,0
QFA7WV,0,1,0
QJE37W,1,0,0
QMYOJ6,0,1,0
QOAIJ3,1,0,0
QP94SG,0,1,0
QRPICT,1,0,0
QSLW1A,0,1,0
QYHNPR,1,0,0
QZCK7S,0,1,0
QZL820,1,0,0
R0HI1E,1,1,0
R7FP03,0,1,0
RDNOTD,1,0,0
RF4O17,1,0,0
RFU9SJ,1,0,0
RHJXWS,1,0,0
RIHVGZ,0,1,0
RKXD3P,1,0,0
RMFE9V,0,1,0
RMI50F,0,1,0
RMPAL8,0,0,1
ROPN18,0,1,0
RPP27S,1,0,0
RQH3KT,0,1,1
RT7JR4,0,1,0
RX81A2,0,1,0
RYKGHW,1,0,0
RZAMH5,0,0,0
S2O52E,0,1,0
S7GZWC,1,0,0
S7J8A3,1,0,0
S7MCDT,0,1,0
S913KH,1,0,0
SMIV0G,1,0,0
SR566J,0,0,1
SS11ZQ,0,1,0
SSF0H9,1,0,0
SU8SJG,0,1,0
SYFAQK,0,1,0
T68ZLY,0,1,0
T718DE,0,1,0
T7LG0W,0,1,0
T9U9XS,0,1,1
TC0TZS,1,0,0
TD4ETQ,1,0,0
TDZOK8,1,0,0
TFSHIJ,0,1,0
TGJ20B,0,0,0
TJ61N5,1,0,0
TMOGMF,1,0,0
TN3IZ7,1,1,0
TO708O,0,0,0
TOB5OB,1,0,0
TUNZFR,1,0,0
TVPKJX,1,0,0
TVV0DY,0,1,0
TX1I8W,0,0,1
TZISQ4,0,1,0
U0PZLQ,0,1,0
U15LHF,0,1,0
U2GLZO,0,1,0
U2QBSA,1,0,0
U3XZKZ,1,0,0
U4I5QJ,0,0,1
U4IYWZ,0,1,0
U8I1LA,0,0,1
U8JG8D,0,1,0
U8L2AD,0,1,0
UC43IC,1,1,0
UD23TV,1,0,0
UF4NXJ,0,1,0
UFKL09,1,0,0
UGQ06J,0,1,0
UIPPYH,0,1,0
UJHQ2J,1,0,0
ULCPMW,1,0,1
URXE6M,0,1,0
V430Z9,1,0,0
V4HYOA,0,1,0
V50UPU,1,0,0
V66D9F,1,0,0
V967QV,0,1,0
V9HEG6,0,1,0
VBR6L3,1,0,0
VBRW9V,1,0,0
VF88W8,0,1,0
VFYL64,1,0,0
VHVC6L,0,0,1
VNJD86,0,1,0
VT4FV1,1,0,0
VTMJM6,1,0,0
VV4E5H,0,0,1
VW34Z3,1,0,0
VWNRJV,0,1,0
VXATQV,0,0,0
VZ7SD1,0,0,0
W7B3S5,0,0,1
WCJ52P,0,1,0
WCY8TY,0,1,0
WEVNCF,1,1,0
WM6KLP,1,0,0
WP4QZT,0,1,0
WSOC79,1,0,0
WVLN4Q,0,1,0
WXX7FT,1,1,0
WYNVC7,1,0,0
WZ0G5N,1,0,0
WZ40LJ,1,0,0
X1UJGJ,1,0,0
X292N8,1,0,0
X2P0VH,0,1,0
X49T3Q,1,0,0
X7336C,0,0,0
XEM0EN,1,0,0
XFLV58,0,0,1
XGCF0C,1,0,0
XGYBWF,1,0,0
XKXIOC,0,1,0
XNXYRH,1,0,0
XPD4SW,0,1,0
XRFFAM,1,0,0
XRSROJ,1,0,0
XVZ454,0,1,0
XW716R,1,0,0
XWNGYU,1,0,0
XXXIOT,0,0,1
Y1BK8U,0,1,0
Y7VVJU,0,0,1
YBYJWV,1,0,0
YC778I,1,0,0
YJDMJX,0,0,1
YK16PZ,0,1,0
YN33U7,0,1,0
YQ8BG3,0,0,0
YQJL65,1,0,0
YQL491,1,0,0
YUX9Y2,0,1,0
YV619U,0,1,0
YWVGLF,0,0,1
YYBG2V,1,0,0
YYYK9H,1,0,1
Z63BLU,1,0,0
Z7JMTK,1,0,0
Z7V1P8,0,1,0
Z8067W,0,1,0
ZC1FWW,0,0,1
ZCZR1I,0,1,1
ZDPAP7,1,0,0
ZFYYJ7,0,1,0
ZKF0L9,0,0,1
ZMAB3R,0,1,0
ZOXDKA,0,1,0
ZSZMOS,0,1,0
ZTWSDG,1,1,0
